S.No,Timestamp,Plate Number,Confidence,Image Path
1,2025-11-27 01:59:35,MH20DV2366,0.946,uploads/processed_images/plate_0.jpg
2,2025-11-27 01:59:56,0269LKL,0.923,uploads/processed_images/plate_0.jpg
3,2025-11-27 02:01:14,MH20DV2366,0.946,uploads/processed_images/plate_0.jpg
4,2025-11-27 02:05:33,KL54A2670,0.940,uploads/processed_images/plate_0.jpg
